plotID,TDN,NH4,NO3
KBPL1,169.6746,134.2192,8.1225
KBPL10,367.8498,178.4325,21.7421
KBPL11,244.248,152.5681,9.5034
KBPL12,277.0947,167.9018,6.4463
KBPL2,299.4246,258.9299,22.6782
KBPL3,476.9883,244.4451,22.6066
KBPL4,250.1511,181.6511,9.2315
KBPL5,222.9374,158.7529,8.5465
KBPL6,286.153,187.7167,6.4223
KBPL7,330.0557,139.3262,16.385
KBPL8,163.9733,83.8724,4.2686
KBPL9,174.6822,113.3581,8.7225
NPL1,268.7942,66.3697,24.1995
NPL10,92.7165,78.134,4.4514
NPL11,277.5468,135.2845,5.8671
NPL12,111.6572,93.0813,2.5149
NPL2,110.4402,43.9395,23.4647
NPL3,121.5798,49.1282,14.791
NPL4,106.5139,59.5196,19.2152
NPL5,60.3879,26.8685,18.2382
NPL6,92.1682,41.2802,7.0985
NPL7,165.9227,54.0043,46.5196
NPL8,318.6687,88.071,215.3535
NPL9,113.3817,14.2667,28.0321
UPL1,183.7129,176.9568,9.5341
UPL10,98.5404,86.0135,7.108
UPL11,111.5399,88.3708,8.7182
UPL12,96.8395,86.5256,1.0542
UPL2,122.9958,110.2154,31.2474
UPL3,139.7836,118.8682,23.3175
UPL4,116.5029,132.0241,4.02705
UPL5,155.4534,155.0685,6.5874
UPL6,115.6764,109.6721,1.4667
UPL7,151.9885,66.8556,115.1993
UPL8,146.763,58.8486,10.8757
UPL9,136.2614,65.2303,5.2184
