plotID,sampleID,depth,depth_int
KBPL10,KBPL10C1,C1,10cm
KBPL10,KBPL10C2,C2,20cm
KBPL10,KBPL10C3,C3,30cm
KBPL11,KBPL11C1,C1,10cm
KBPL11,KBPL11C2,C2,20cm
KBPL11,KBPL11C3,C3,30cm
KBPL12,KBPL12C1,C1,10cm
KBPL12,KBPL12C2,C2,20cm
KBPL12,KBPL12C3,C3,30cm
KBPL1,KBPL1C1,C1,10cm
KBPL1,KBPL1C2,C2,20cm
KBPL1,KBPL1C3,C3,30cm
KBPL2,KBPL2C1,C1,10cm
KBPL2,KBPL2C2,C2,20cm
KBPL2,KBPL2C3,C3,30cm
KBPL3,KBPL3C1,C1,10cm
KBPL3,KBPL3C2,C2,20cm
KBPL3,KBPL3C3,C3,30cm
KBPL4,KBPL4C1,C1,10cm
KBPL4,KBPL4C2,C2,20cm
KBPL4,KBPL4C3,C3,30cm
KBPL5,KBPL5C1,C1,10cm
KBPL5,KBPL5C2,C2,20cm
KBPL5,KBPL5C3,C3,30cm
KBPL6,KBPL6C1,C1,10cm
KBPL6,KBPL6C2,C2,20cm
KBPL6,KBPL6C3,C3,30cm
KBPL7,KBPL7C1,C1,10cm
KBPL7,KBPL7C2,C2,20cm
KBPL7,KBPL7C3,C3,30cm
KBPL8,KBPL8C1,C1,10cm
KBPL8,KBPL8C2,C2,20cm
KBPL8,KBPL8C3,C3,30cm
KBPL9,KBPL9C1,C1,10cm
KBPL9,KBPL9C2,C2,20cm
KBPL9,KBPL9C3,C3,30cm
NPL10,NPL10C1,C1,10cm
NPL10,NPL10C2,C2,20cm
NPL10,NPL10C3,C3,30cm
NPL11,NPL11.1C2,C2,20cm
NPL11,NPL11.1C3,C3,30cm
NPL11,NPL11.2C2,C2,20cm
NPL11,NPL11.2C3,C3,30cm
NPL11,NPL11.3C2,C2,20cm
NPL11,NPL11.3C3,C3,30cm
NPL11,NPL11C1,C1,10cm
NPL12,NPL12C1,C1,10cm
NPL12,NPL12C2,C2,20cm
NPL12,NPL12C3,C3,30cm
NPL1,NPL1C1,C1,10cm
NPL1,NPL1C2,C2,20cm
NPL1,NPL1C3,C3,30cm
NPL2,NPL2C1,C1,10cm
NPL2,NPL2C2,C2,20cm
NPL2,NPL2C3,C3,30cm
NPL3,NPL3C1,C1,10cm
NPL3,NPL3C2,C2,20cm
NPL3,NPL3C3,C3,30cm
NPL4,NPL4C1,C1,10cm
NPL4,NPL4C2,C2,20cm
NPL4,NPL4C3,C3,30cm
NPL5,NPL5C1,C1,10cm
NPL5,NPL5C1.2,C2,20cm
NPL5,NPL5C10.2,C2,20cm
NPL5,NPL5C2,C2,20cm
NPL5,NPL5C2.2,C2,20cm
NPL5,NPL5C3,C3,30cm
NPL5,NPL5C3.2,C2,20cm
NPL5,NPL5C4.2,C2,20cm
NPL5,NPL5C5.2,C2,20cm
NPL5,NPL5C6.2,C2,20cm
NPL5,NPL5C7.2,C2,20cm
NPL5,NPL5C8.2,C2,20cm
NPL5,NPL5C9.2,C2,20cm
NPL6,NPL6C1,C1,10cm
NPL6,NPL6C2,C2,20cm
NPL6,NPL6C3,C3,30cm
NPL7,NPL7C1,C1,10cm
NPL7,NPL7C2,C2,20cm
NPL7,NPL7C3,C3,30cm
NPL8,NPL8C1,C1,10cm
NPL8,NPL8C2,C2,20cm
NPL8,NPL8C3,C3,30cm
NPL9,NPL9C1,C1,10cm
NPL9,NPL9C2,C2,20cm
NPL9,NPL9C3,C3,30cm
UPL10,UPL10C1,C1,10cm
UPL10,UPL10C2,C2,20cm
UPL10,UPL10C3,C3,30cm
UPL11,UPL11C1,C1,10cm
UPL11,UPL11C2,C2,20cm
UPL11,UPL11C3,C3,30cm
UPL12,UPL12.1.2,C2,20cm
UPL12,UPL12.1.3,C3,30cm
UPL12,UPL12.2.2,C2,20cm
UPL12,UPL12.2.3,C3,30cm
UPL12,UPL12.3.2,C3,20cm
UPL12,UPL12.3.3,C3,30cm
UPL12,UPL12.4.2,C2,20cm
UPL12,UPL12.4.3,C3,30cm
UPL12,UPL12C1,C1,10cm
UPL1,UPL1C1,C1,10cm
UPL1,UPL1C2,C2,20cm
UPL1,UPL1C3,C3,30cm
UPL2,UPL2C1,C1,10cm
UPL2,UPL2C2,C2,20cm
UPL2,UPL2C3,C3,30cm
UPL3,UPL3C1,C1,10cm
UPL3,UPL3C2,C2,20cm
UPL3,UPL3C3,C3,30cm
UPL3,UPL3C4(Subplot1&3),C3,30cm
UPL3,UPL3C4(Subplot2&4),C3,30cm
UPL4,UPL4C1,C1,10cm
UPL4,UPL4C2,C2,20cm
UPL4,UPL4C3,C3,30cm
UPL5,UPL5C1,C1,10cm
UPL5,UPL5C2,C2,20cm
UPL5,UPL5C3,C3,30cm
UPL6,UPL6C1,C1,10cm
UPL6,UPL6C2,C2,20cm
UPL6,UPL6C3,C3,30cm
UPL7,UPL7C1,C1,10cm
UPL7,UPL7C2,C2,20cm
UPL7,UPL7C3,C3,30cm
UPL8,UPL8C1,C1,10cm
UPL8,UPL8C2,C2,20cm
UPL8,UPL8C3,C3,30cm
UPL9,UPL9C1,C1,10cm
UPL9,UPL9C2,C2,20cm
UPL9,UPL9C3,C3,30cm
