plotID,slope,region,pH_KCl,ECEC,P_avail,K_ex,Ca_ex,Mg_ex,Total_N,Total_Ca,Total_K,Total_Mg,Total_P,Total_C,CN,CP,NP,NK,NCa,NMg,N_resorp,P_resorp,K_resorp,Mg_resorp,NP_resorp,NK_resorp,NMg_resorp,TRB,Base_ex
KBPL10,V,Mafic,5.4,33.206,32.78,0.793,24.251,7.359,0.95088,0.42266,0.16286,0.42926,0.18082544,8.58088,9.024146054,47.45394232,5.258552115,5.83863441,2.249751573,2.215160975,53.49358912,45.39130826,62.70357967,20.37178566,1.178498509,0.853118584,2.625866481,1.01478,32.403
KBPL11,V,Mafic,4.35,15.772,35.25,1.279,8.972,3.578,0.72923,0.33537,0.15339,0.47645,0.334981127,7.53175,10.32836005,22.48410251,2.176928612,4.754090879,2.174404389,1.530548851,60.09498205,64.87451069,71.36865484,21.74023695,0.926326556,0.842036076,2.764228476,0.96521,13.829
KBPL12,V,Mafic,3.6,9.991,33.76,0.332,2.904,1.405,0.93539,0.18913,0.11838,0.33763,0.274478546,9.74146,10.41432985,35.49078841,3.407880192,7.901588106,4.945751599,2.770458786,68.55833022,50.96434603,86.09425791,4.151535311,1.345221426,0.796317105,16.51397015,0.64514,4.641
KBPL6,UP,Mafic,4.6,19.625,7.74,0.332,11.776,6.714,0.64698,0.29889,0.13818,0.35931,0.192897551,5.89921,9.118071656,30.58208862,3.354008367,4.682153713,2.164609053,1.800617851,59.97924553,60.19969937,77.27997789,51.41820451,0.996337958,0.776129176,1.166498249,0.79638,18.822
NPL10,V,Sedim,2.97,5.689,15.57,0.179,0.319,0.174,0.35169,0.10926,0.09021,0.16272,0.039647716,6.23114,17.71770593,157.1626471,8.870372255,3.898570003,3.218835805,2.161320059,51.99612685,78.42436734,78.75005542,39.4043828,0.663009835,0.660267813,1.319551866,0.36219,0.672
NPL11,V,Sedim,2.97,7.443,35.18,0.153,0.519,0.194,0.54804,0.08189,0.05835,0.18384,0.019321179,9.38499,17.12464419,485.735886,28.36472867,9.392287918,6.692392233,2.981070496,63.57069895,76.22763881,85.69483258,40.20523303,0.833958653,0.741826514,1.581154844,0.32408,0.866
NPL12,V,Sedim,3.37347,8.41598,29.20304,0.37403,3.07673,1.44349,0.20157,0.17488,0.07076,0.16481,0.019321179,3.2786,16.26531726,169.6894377,10.43259317,2.848643301,1.152618939,1.223044718,59.5240856,37.93023937,66.97035905,37.69691537,1.569304244,0.888812401,1.579017408,0.41045,4.89425
NPL1,PL,Sedim,3.16,8.734,7.74,0.128,0.1,0.12,0.53816,0.09861,0.02276,0.07266,0.113242567,7.45394,13.85078787,65.82277493,4.752276589,23.64499121,5.457458676,7.40655106,-6.308369802,78.17377057,87.5663941,30.02179582,-0.080696757,-0.072040991,-0.210126331,0.19403,0.348
NPL2,PL,Sedim,2.85,9.827,1.9,0.077,0.14,0.087,0.43951,0.03665,0.02362,0.05749,0.122544308,6.53664,14.87256263,53.34103319,3.586539491,18.60753599,11.99208731,7.644981736,34.62858679,79.72806668,85.39776038,37.00319854,0.434333707,0.405497599,0.935826852,0.11776,0.304
NPL3,PL,Sedim,2.68,9.521,2.06,0.102,0.22,0.099,0.43332,0.03665,0.04858,0.08495,0.093079972,6.84653,15.80017077,73.55535088,4.655351637,8.919720049,11.82319236,5.100882872,24.26633421,85.48830471,92.97217061,39.37833717,0.283855602,0.261006429,0.616235625,0.17018,0.421
NPL4,UP,Sedim,2.98,5.572,2.27,0.051,0.14,0.072,0.20227,0.11771,0.11045,0.11861,0.104293667,3.58696,17.7335245,34.39288409,1.939427444,1.831326392,1.718375669,1.705336818,53.81811135,87.80216419,85.88000314,58.83488393,0.612947435,0.626666388,0.914731325,0.34677,0.263
NPL6,UP,Sedim,2.87,6.708,2.13,0.102,0.03,0.086,0.22404,0.09861,0.08908,0.13915,0.052295619,3.0922,13.80199964,59.12923605,4.284106476,2.515042658,2.271980529,1.610061085,28.38960589,76.40457978,45.27154439,68.07310876,0.371569427,0.627096033,0.417045826,0.32684,0.218
NPL7,MS,Sedim,2.96,9.065,4.26,0.153,0.03,0.117,0.40871,0.09861,0.02253,0.02728,0.031947027,6.72461,16.45325536,210.4925131,12.79336572,18.14070129,4.14471149,14.98203812,22.38038783,77.87701046,80.13807305,27.11775674,0.287381189,0.279272847,0.825303805,0.14842,0.3
NPL8,MS,Sedim,3.23,9.923,2.7,0.153,0.09,0.156,0.49667,0.0063,0.04584,0.13077,0.071185652,7.57738,15.25636741,106.4453269,6.977108252,10.83486038,78.83650794,3.798042364,29.44467562,79.38489991,80.79795521,28.37007632,0.370910282,0.364423525,1.037877914,0.18291,0.399
NPL9,MS,Sedim,3.35,8.327,2.77,0.102,0.08,0.138,0.34354,0.05425,0.06217,0.1014,0.069609734,4.74858,13.8224952,68.21718353,4.935229317,5.52581631,6.332534562,3.387968442,62.16193429,92.33513999,93.79197746,31.01677613,0.673220773,0.662763874,2.004139115,0.21782,0.32
UPL10,V,Felsic,5.68,14.378,10.74,0.639,10.419,2.516,0.31654,0.42218,0.17442,0.36606,0.091469415,2.86677,9.056580527,31.34129589,3.460610303,1.814814815,0.749774977,0.86472163,51.60423966,47.82491725,61.44371583,0.423575623,1.079024129,0.839861961,121.8300509,0.96266,13.574
UPL11,V,Felsic,5.2,14.486,17.93,0.409,11.587,1.688,0.28773,0.43067,0.1695,0.35265,0.086812149,2.66699,9.269071699,30.72139131,3.31439785,1.697522124,0.668098544,0.815908124,47.99538298,59.39203885,64.66708111,14.32864467,0.808111389,0.742191887,3.349610804,0.95282,13.684
UPL12,V,Felsic,5.72,28.77,24.07,0.486,22.455,4.269,0.27197,0.40295,0.16861,0.32031,0.033730862,3.42536,12.59462441,101.5497321,8.062942477,1.613012277,0.674947264,0.8490837,53.43922254,79.27434881,75.44028489,15.16186706,0.674104844,0.708364538,3.524580602,0.89187,27.21
UPL1,PL,Felsic,6.12,25.499,14.22,0.844,20.21,3.262,0.50538,0.35766,0.14364,0.30043,0.039455171,5.37589,10.63732241,136.2531162,12.80896742,3.518379282,1.41301795,1.682188863,53.68728815,76.51300133,83.97058837,30.22980665,0.701675365,0.639358247,1.775971933,0.80173,24.316
UPL2,PL,Felsic,5.5,18.837,38.52,0.614,14.79,2.587,0.3881,0.37696,0.15867,0.30823,0.034836511,3.77065,9.715666065,108.2384513,11.14061049,2.445957018,1.029552207,1.25912468,53.04301692,53.5111436,68.85066279,33.41451383,0.991251791,0.770406773,1.58742447,0.84386,17.991
UPL3,PL,Felsic,5.52,21.337,42.86,0.691,17.665,2.093,0.47052,0.47653,0.18861,0.4103,0.09574591,4.48441,9.530753209,46.83656983,4.914256912,2.494671544,0.987387992,1.146770656,46.24928913,56.61123531,60.91899605,13.13237225,0.816963079,0.759193226,3.521777197,1.07544,20.449
UPL4,UP,Felsic,5.25,17.328,20.07,0.716,12.934,2.832,0.29187,0.25443,0.11315,0.21331,0.035442619,2.62,8.976599171,73.92230241,8.235000918,2.579496244,1.147152458,1.368290282,69.51878822,86.25094147,82.7035279,46.47779375,0.806006138,0.840578268,1.495742001,0.58089,16.482
UPL5,UP,Felsic,5.36,16.059,9.29,0.665,11.647,2.859,0.3379,0.29817,0.1252,0.24624,0.031635493,3.21324,9.509440663,101.5707263,10.68104107,2.698881789,1.133246135,1.372238467,52.89840128,84.95647181,82.34424056,50.9397566,0.622652991,0.6424056,1.038450217,0.66961,15.171
UPL6,UP,Felsic,6.22,17.45,4.87,0.614,13.872,2.161,0.24593,0.25917,0.11241,0.1904,0.035442619,2.32131,9.43890538,65.49487779,6.93882131,2.18779468,0.94891384,1.29164916,43.30074252,67.99152933,77.55265198,41.96079869,0.636854957,0.558339933,1.03193323,0.56198,16.647
UPL7,MS,Felsic,4.74,15.566,10.22,0.307,11.407,3.007,0.32109,0.27108,0.13307,0.23815,0.073532295,3.15186,9.81612632,42.86361523,4.366652775,2.412940558,1.184484285,1.348267898,50.97182125,86.36951166,84.25755662,24.66215277,0.590159887,0.60495252,2.066803402,0.6423,14.721
UPL8,MS,Felsic,4.53,12.128,27.93,0.435,9.461,1.428,0.35022,0.19434,0.10386,0.18747,0.032795147,3.81431,10.89118269,116.3071475,10.67901906,3.372039284,1.802099413,1.868138902,67.21500767,77.93767776,76.13430014,20.57210121,0.862419944,0.882847909,3.267289373,0.48567,11.324
UPL9,MS,Felsic,4.74,18.978,12.79,0.307,15.13,2.358,0.4033,0.27195,0.12698,0.23158,0.069346076,4.12315,10.22353087,59.457582,5.815758054,3.176090723,1.482993197,1.741514811,65.86806361,84.7523711,85.65757681,34.4829731,0.777182547,0.768969495,1.910161964,0.63051,17.795
