plotID,region,pH_KCl,ECEC,P_avail,K_ex,Ca_ex,Mg_ex,Total_N,Total_C,Total_Ca,Total_K,Total_Mg,Total_P
KBPL10,Mafic,5.4,33.206,32.78,0.793,24.251,7.359,0.95088,8.58088,0.42266,0.16286,0.42926,0.18082544
KBPL11,Mafic,4.35,15.772,35.25,1.279,8.972,3.578,0.72923,7.53175,0.33537,0.15339,0.47645,0.334981127
KBPL12,Mafic,3.6,9.991,33.76,0.332,2.904,1.405,0.93539,9.74146,0.18913,0.11838,0.33763,0.274478546
KBPL1,Mafic,3.27,8.844,37.7,0.281,1.667,0.449,0.49309,4.73554,0.07873,0.06096,0.19465,0.10337828
KBPL2,Mafic,3.32,10.596,52.61,0.332,1.417,0.504,0.86402,11.14913,0.00824,0.04703,0.20246,0.174349897
KBPL3,Mafic,3.37,9.115,35.38,0.256,1.317,0.716,0.75845,9.74223,0.04057,0.05529,0.186,0.134906022
KBPL4,Mafic,3.3,8.358,34.89,0.256,1.507,0.528,0.59434,6.28342,0.01471,0.04762,0.15431,0.114404417
KBPL5,Mafic,3.44,9.346,31.77,0.332,2.545,1.015,0.55698,5.17306,0.10867,0.07599,0.26131,0.156629847
KBPL6,Mafic,4.6,19.625,7.74,0.332,11.776,6.714,0.64698,5.89921,0.29889,0.13818,0.35931,0.192897551
KBPL7,Mafic,4.85,21.784,30.24,1.3,11.856,7.447,0.50328,4.62866,0.24634,0.11354,0.34077,0.155147231
KBPL8,Mafic,3.5,10.527,27.15,0.256,4.95,1.15,0.4964,5.25743,0.09394,0.0719,0.22103,0.131352458
KBPL9,Mafic,3.35,10.47,19.69,0.256,3.343,1.897,0.52629,5.13503,0.12879,0.07344,0.24799,0.098705476
NPL10,Sedim,2.97,5.689,15.57,0.179,0.319,0.174,0.35169,6.23114,0.10926,0.09021,0.16272,0.039647716
NPL11,Sedim,2.97,7.443,35.18,0.153,0.519,0.194,0.54804,9.38499,0.08189,0.05835,0.18384,0.019321179
NPL12,Sedim,3.37347,8.41598,29.20304,0.37403,3.07673,1.44349,0.20157,3.2786,0.17488,0.07076,0.16481,0.019321179
NPL1,Sedim,3.16,8.734,7.74,0.128,0.1,0.12,0.53816,7.45394,0.09861,0.02276,0.07266,0.113242567
NPL2,Sedim,2.85,9.827,1.9,0.077,0.14,0.087,0.43951,6.53664,0.03665,0.02362,0.05749,0.122544308
NPL3,Sedim,2.68,9.521,2.06,0.102,0.22,0.099,0.43332,6.84653,0.03665,0.04858,0.08495,0.093079972
NPL4,Sedim,2.98,5.572,2.27,0.051,0.14,0.072,0.20227,3.58696,0.11771,0.11045,0.11861,0.104293667
NPL5,Sedim,3.01,7.169,0.43,0.051,0.25,0.043,0.18063,3.25767,0.05751,0.08908,0.06622,0.109437924
NPL6,Sedim,2.87,6.708,2.13,0.102,0.03,0.086,0.22404,3.0922,0.09861,0.08908,0.13915,0.052295619
NPL7,Sedim,2.96,9.065,4.26,0.153,0.03,0.117,0.40871,6.72461,0.09861,0.02253,0.02728,0.031947027
NPL8,Sedim,3.23,9.923,2.7,0.153,0.09,0.156,0.49667,7.57738,0.0063,0.04584,0.13077,0.071185652
NPL9,Sedim,3.35,8.327,2.77,0.102,0.08,0.138,0.34354,4.74858,0.05425,0.06217,0.1014,0.069609734
UPL10,Felsic,5.68,14.378,10.74,0.639,10.419,2.516,0.31654,2.86677,0.42218,0.17442,0.36606,0.091469415
UPL11,Felsic,5.2,14.486,17.93,0.409,11.587,1.688,0.28773,2.66699,0.43067,0.1695,0.35265,0.086812149
UPL12,Felsic,5.72,28.77,24.07,0.486,22.455,4.269,0.27197,3.42536,0.40295,0.16861,0.32031,0.033730862
UPL1,Felsic,6.12,25.499,14.22,0.844,20.21,3.262,0.50538,5.37589,0.35766,0.14364,0.30043,0.039455171
UPL2,Felsic,5.5,18.837,38.52,0.614,14.79,2.587,0.3881,3.77065,0.37696,0.15867,0.30823,0.034836511
UPL3,Felsic,5.52,21.337,42.86,0.691,17.665,2.093,0.47052,4.48441,0.47653,0.18861,0.4103,0.09574591
UPL4,Felsic,5.25,17.328,20.07,0.716,12.934,2.832,0.29187,2.62,0.25443,0.11315,0.21331,0.035442619
UPL5,Felsic,5.36,16.059,9.29,0.665,11.647,2.859,0.3379,3.21324,0.29817,0.1252,0.24624,0.031635493
UPL6,Felsic,6.22,17.45,4.87,0.614,13.872,2.161,0.24593,2.32131,0.25917,0.11241,0.1904,0.035442619
UPL7,Felsic,4.74,15.566,10.22,0.307,11.407,3.007,0.32109,3.15186,0.27108,0.13307,0.23815,0.073532295
UPL8,Felsic,4.53,12.128,27.93,0.435,9.461,1.428,0.35022,3.81431,0.19434,0.10386,0.18747,0.032795147
UPL9,Felsic,4.74,18.978,12.79,0.307,15.13,2.358,0.4033,4.12315,0.27195,0.12698,0.23158,0.069346076
